dias;S;I;R;N
54;353.5428339087863;526.1882286788544;120.26893741235952;1000.0000000000002
55;-204.54739870091373;917.4076237136769;287.13977498723716;1000.0000000000003
56;358.4126302361442;525.0024538089078;116.58491595494829;1000.0000000000003
57;-206.08990081409718;920.6784873338624;285.41141348023507;1000.0000000000003
58;363.13771359482905;523.8671814816023;112.99510492356893;1000.0000000000002
59;-207.57007793696027;923.8557243166854;283.71435362027523;1000.0000000000003
60;367.72433615980356;522.7792079072165;109.49645593298027;1000.0000000000002
61;-208.99157539768373;926.9430348929473;282.04854050473693;1000.0000000000005
62;372.1782801008777;521.735629873604;106.08609002551879;1000.0000000000005
63;-210.35772808024046;929.9438747807427;280.4138532994982;1000.0000000000005
64;376.5049141427976;520.7338060295308;102.76127982767204;1000.0000000000005
65;-211.6715966484046;932.8614812957918;278.8101153526132;1000.0000000000005
66;380.7092409446236;519.7713245375498;99.519434517827;1000.0000000000005
67;-212.93599834379302;935.6988956255643;277.23710271822915;1000.0000000000005
68;384.7959371238494;518.8459758270532;96.35808704909792;1000.0000000000005
69;-214.15353335007774;938.458981966417;275.6945513836613;1000.0000000000006
70;388.76938732659755;517.9557294732309;93.27488320017216;1000.0000000000007
71;-215.32660750222908;941.1444440727379;274.1821634294919;1000.0000000000007
72;392.633713433033;517.0987144448471;90.26757212212053;1000.0000000000007
73;-216.45745195875065;943.7578396537499;272.69961230500144;1000.0000000000007
74;396.39279975388695;516.2732021259949;87.33399812011885;1000.0000000000007
75;-217.54814033199557;946.3015929670677;271.2465473649286;1000.0000000000007
76;400.0503148975762;515.4775916396848;84.4720934627397;1000.0000000000007
77;-218.60060367672406;948.7780058912199;269.82259778550485;1000.0000000000007
78;403.6097308523333;514.7103970950582;81.67987205260928;1000.0000000000008
79;-219.61664366296884;951.189267707148;268.4273759558215;1000.0000000000007
80;407.0743397232742;513.9702364526731;78.9554238240533;1000.0000000000007
81;-220.5979442008869;953.5374637775496;267.0604804233378;1000.0000000000006
82;410.4472684826784;513.2558217590864;76.2969097582357;1000.0000000000005
83;-221.54608173887004;955.8245832802354;265.7214984586352;1000.0000000000006
84;413.7314920274033;512.5659505466916;73.7025574259057;1000.0000000000007
85;-222.4625344189776;958.0525261254447;264.4100082935335;1000.0000000000007
86;416.9298447861329;511.8994982303837;71.17065698348395;1000.0000000000005
87;-223.34869024374677;960.2231091659203;263.12558107782684;1000.0000000000003
88;420.045031078213;511.2554113610831;68.69955756070433;1000.0000000000005
89;-224.20585438399917;962.3380717913168;261.8677825926828;1000.0000000000005
90;423.07963439266837;510.6327016191924;66.28766398813966;1000.0000000000005
91;-225.035255737297;964.3990809844422;260.63617475285525;1000.0000000000005
92;426.03612572914756;510.03044044972233;63.93343382113062;1000.0000000000005
93;-225.83805283024367;966.4077359052367;259.43031692500756;1000.0000000000006
94;428.91687112052546;509.44775425611823;61.63537462335697;1000.0000000000007
95;-226.61533914421238;968.3655720587888;258.2497670854242;1000.0000000000006
96;431.7241384388326;508.8838200823673;59.39204147880062;1000.0000000000005
97;-227.36814793273322;970.2740650956903;257.0940828370435;1000.0000000000006
98;434.46010357118075;508.3378617233882;57.2020347054316;1000.0000000000006
99;-228.0974565893066;972.1346342863549;255.96282230295236;1000.0000000000007
100;437.1268560399733;507.8091462122992;55.063997747728166;1000.0000000000007
